id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0175,GENIL,01 1 UA SUC,12684.4,Genil,proposta,vigent,parcelles.json,,537921.48,26358.36,IGUAL
R0176,CAL_NOTARI_3,01 1 UA SUC,2333.5,Cal Notari 2,proposta,vigent,parcelles.json,,537923.94,26445.14,IGUAL
R0177,CALCINERA_1,01 2 UA SUNC,16595.9,Calcinera 1,proposta,vigent,parcelles.json,,537931.65,26105.18,IGUAL
R0178,ROSSELL,01 1 UA SUC,1402.8,Rossell,proposta,vigent,parcelles.json,,537945.28,26571.27,IGUAL
R0179,COLLEGIS,01 1 UA SUC,3093.7,Col.legis,proposta,vigent,parcelles.json,,537959.71,26593.83,IGUAL
R0180,CAL_NOTARI_1,01 1 UA SUC,1408.4,Cal Notari 1,proposta,vigent,parcelles.json,,537962.61,26407.28,IGUAL
R0181,CLOS_3,01 1 UA SUC,2336.6,Clos 3,proposta,vigent,parcelles.json,,537969.4,26288.96,IGUAL
R0182,CAL_NOTARI_2,01 1 UA SUC,1120.9,,proposta,vigent,parcelles.json,,537971.48,26447.79,IGUAL
R0183,COMA_LLARGA,01 3 UA SUBLE,13718.9,Coma llarga,proposta,vigent,parcelles.json,,537993.1,26188.57,IGUAL
R0184,MITJORN,01 1 UA SUC,6421.5,Mitjorn,proposta,vigent,parcelles.json,,538000.36,26547.59,IGUAL
R0185,CANEMAR_1,01 1 UA SUC,2866.9,Canemar 1,proposta,vigent,parcelles.json,,538001.53,26653.51,IGUAL
R0186,COMA,01 1 UA SUC,2593.9,Coma; Mirador de Baix,proposta,vigent,parcelles.json,,538011.81,26289.69,IGUAL
R0187,MOSQUERA,01 1 UA SUC,13942.7,Cavallers de Baix; Mosquera,proposta,vigent,parcelles.json,,538028.82,26462.75,IGUAL
R0188,TAUS,01 3 UA SUBLE,14499.3,Taús,proposta,vigent,parcelles.json,,538049.64,26733.52,IGUAL
R0189,LLISA_BAIXA,01 11 UA SUCc,15304.4,Llisa Baixa,proposta,vigent,parcelles.json,,538060.66,26080.03,IGUAL
R0190,MIRADOR_DE_BAIX,01 2 UA SUNC,3164.9,Mirador del Mig 1,proposta,vigent,parcelles.json,,538063.5,26279.61,IGUAL
R0191,LLISA_BAIXA_2,01 3 UA SUBLE,301.3,Llisa Baixa 2,proposta,vigent,parcelles.json,,538069.16,25961.85,IGUAL
R0192,SEGALARS,01 3 UA SUBLE,31823.8,Segalars,proposta,vigent,parcelles.json,,538069.09,26848.68,IGUAL
R0193,CAVALLERS_DE_BAIX,01 1 UA SUC,2796.7,,proposta,vigent,parcelles.json,,538086.15,26468.39,IGUAL
R0194,CAL_NOTARI_8,01 3 UA SUBLE,4786.3,Cal Notari 8,proposta,vigent,parcelles.json,,538090.01,26732.3,IGUAL
R0195,ROSALEDA,01 1 UA SUC,2568.6,Rosaleda,proposta,vigent,parcelles.json,,538093.09,26658.75,IGUAL
R0196,TREMAT,01 1 UA SUC,17957.6,Tremat,proposta,vigent,parcelles.json,,538099.19,26356.76,IGUAL
R0197,CLOS_1,01 2 UA SUNC,499.6,Clos 1,proposta,vigent,parcelles.json,,538112.21,26703.92,IGUAL
R0198,MIRADOR_DEL_MIG_1,01 2 UA SUNC,1746.3,,proposta,vigent,parcelles.json,,538120.79,26286.57,IGUAL
R0199,CASA_COMUNA,01 1 UA SUC,4738.2,Casa Comuna,proposta,vigent,parcelles.json,,538125.51,26540.32,IGUAL
R0200,MIRADOR_DE_DALT,01 1 UA SUC,18530.6,Mirador de Dalt,proposta,vigent,parcelles.json,,538130.83,26225.74,IGUAL
R0201,MIRADOR_DEL_MIG_2,01 2 UA SUNC,4496.6,Mirador del Mig 2,proposta,vigent,parcelles.json,,538158.76,26321.0,IGUAL
R0202,CAVALLERS_DEL_MIG,01 2 UA SUNC,1664.8,Cavallers del Mig,proposta,vigent,parcelles.json,,538179.3,26405.28,IGUAL
R0203,DOLCERMA_ALTA,01 3 UA SUBLE,30738.3,Dolcerma Alta,proposta,vigent,parcelles.json,,538188.71,26937.21,IGUAL
R0204,ARINSOLS,01 2 UA SUNC,43869.2,Arínsols,proposta,vigent,parcelles.json,,538193.81,26544.7,IGUAL
R0205,PLANAMONDOU_1,01 3 UA SUBLE,4168.7,Planamondou 1,proposta,vigent,parcelles.json,,538208.05,26357.4,IGUAL
R0206,LLISA_ALTA,01 11 UA SUCc,6585.7,Llisa Alta,proposta,vigent,parcelles.json,,538210.73,26273.14,IGUAL
R0207,DOLCERMA_BAIXA,01 11 UA SUCc,8577.9,Dolcerma Baixa,proposta,vigent,parcelles.json,,538230.13,26824.51,IGUAL
R0208,TRAVENERES,01 1 UA SUC,8843.5,Traveneres,proposta,vigent,parcelles.json,,538243.92,26159.38,IGUAL
R0209,TERRA_BANCASA,01 2 UA SUNC,9997.5,Terra Bancasa,proposta,vigent,parcelles.json,,538246.69,26779.83,IGUAL
R0210,CAVALLERS_DE_DALT,01 1 UA SUC,8110.6,Cavallers de Dalt,proposta,vigent,parcelles.json,,538259.48,26387.45,IGUAL
R0211,ROUILLAC,01 1 UA SUC,2224.7,Rouillac,proposta,vigent,parcelles.json,,538266.37,26625.55,IGUAL
R0212,TERRES_DE_L_OBAC,01 3 UA SUBLE,9419.2,Terres de l'Obac,proposta,vigent,parcelles.json,,538268.78,26089.96,IGUAL
R0213,PIALASSOS_DE_BAIX_1,01 1 UA SUC,6149.1,Pialassos de Baix 1,proposta,vigent,parcelles.json,,538275.05,26302.85,IGUAL
R0214,14_DE_MARC,01 1 UA SUC,2747.2,14 de març,proposta,vigent,parcelles.json,,538292.52,26747.24,IGUAL
